ZipCode,StateFIPS,State,CountyFIPS,County
"76462","48","TX","221","HOOD"
"76462","48","TX","363","PALO PINTO"
"76462","48","TX","367","PARKER"
"76462","48","TX","429","STEPHENS"
"76463","48","TX","143","ERATH"
"76463","48","TX","363","PALO PINTO"
"76464","48","TX","059","CALLAHAN"
"76464","48","TX","133","EASTLAND"
"76464","48","TX","417","SHACKELFORD"
"76464","48","TX","429","STEPHENS"
"76470","48","TX","133","EASTLAND"
"76470","48","TX","429","STEPHENS"
"76471","48","TX","049","BROWN"
"76471","48","TX","093","COMANCHE"
"76471","48","TX","133","EASTLAND"
"76475","48","TX","133","EASTLAND"
"76475","48","TX","363","PALO PINTO"
"76481","48","TX","429","STEPHENS"
"76481","48","TX","503","YOUNG"
"76486","48","TX","237","JACK"
"76486","48","TX","363","PALO PINTO"
"76486","48","TX","367","PARKER"
"76487","48","TX","237","JACK"
"76487","48","TX","367","PARKER"
"76487","48","TX","497","WISE"
"76490","48","TX","363","PALO PINTO"
"76490","48","TX","367","PARKER"
"76511","48","TX","027","BELL"
"76511","48","TX","331","MILAM"
"76511","48","TX","491","WILLIAMSON"
"76519","48","TX","027","BELL"
"76519","48","TX","145","FALLS"
"76519","48","TX","331","MILAM"
"76522","48","TX","099","CORYELL"
"76522","48","TX","281","LAMPASAS"
"76524","48","TX","145","FALLS"
"76524","48","TX","309","MCLENNAN"
"76525","48","TX","099","CORYELL"
"76525","48","TX","193","HAMILTON"
"76525","48","TX","281","LAMPASAS"
"76527","48","TX","027","BELL"
"76527","48","TX","053","BURNET"
"76527","48","TX","491","WILLIAMSON"
"76528","48","TX","027","BELL"
"76528","48","TX","099","CORYELL"
"76528","48","TX","281","LAMPASAS"
"76531","48","TX","093","COMANCHE"
"76531","48","TX","193","HAMILTON"
"76534","48","TX","027","BELL"
"76534","48","TX","331","MILAM"
"76538","48","TX","099","CORYELL"
"76538","48","TX","193","HAMILTON"
"76539","48","TX","027","BELL"
"76539","48","TX","053","BURNET"
"76539","48","TX","099","CORYELL"
"76539","48","TX","281","LAMPASAS"
"76544","48","TX","027","BELL"
"76544","48","TX","099","CORYELL"
"76549","48","TX","027","BELL"
"76549","48","TX","053","BURNET"
"76550","48","TX","053","BURNET"
"76550","48","TX","281","LAMPASAS"
"76556","48","TX","051","BURLESON"
"76556","48","TX","331","MILAM"
"76557","48","TX","027","BELL"
"76557","48","TX","099","CORYELL"
"76557","48","TX","309","MCLENNAN"
"76561","48","TX","099","CORYELL"
"76561","48","TX","309","MCLENNAN"
"76566","48","TX","099","CORYELL"
"76566","48","TX","193","HAMILTON"
"76567","48","TX","051","BURLESON"
"76567","48","TX","331","MILAM"
"76569","48","TX","027","BELL"
"76569","48","TX","331","MILAM"
"76570","48","TX","145","FALLS"
"76570","48","TX","331","MILAM"
"76577","48","TX","331","MILAM"
"76577","48","TX","491","WILLIAMSON"
"76578","48","TX","287","LEE"
"76578","48","TX","331","MILAM"
"76578","48","TX","491","WILLIAMSON"
"76579","48","TX","027","BELL"
"76579","48","TX","145","FALLS"
"76621","48","TX","217","HILL"
"76621","48","TX","309","MCLENNAN"
"76622","48","TX","217","HILL"
"76622","48","TX","309","MCLENNAN"
"76624","48","TX","293","LIMESTONE"
"76624","48","TX","309","MCLENNAN"
"76629","48","TX","145","FALLS"
"76629","48","TX","395","ROBERTSON"
"76630","48","TX","145","FALLS"
"76630","48","TX","309","MCLENNAN"
"76633","48","TX","035","BOSQUE"
"76633","48","TX","309","MCLENNAN"
"76637","48","TX","035","BOSQUE"
"76637","48","TX","193","HAMILTON"
"76648","48","TX","217","HILL"
"76648","48","TX","293","LIMESTONE"
"76648","48","TX","349","NAVARRO"
"76649","48","TX","035","BOSQUE"
"76649","48","TX","143","ERATH"
"76653","48","TX","145","FALLS"
"76653","48","TX","293","LIMESTONE"
"76655","48","TX","145","FALLS"
"76655","48","TX","309","MCLENNAN"
"76657","48","TX","099","CORYELL"
"76657","48","TX","309","MCLENNAN"
"76664","48","TX","145","FALLS"
"76664","48","TX","293","LIMESTONE"
"76664","48","TX","309","MCLENNAN"
"76667","48","TX","161","FREESTONE"
"76667","48","TX","293","LIMESTONE"
"76670","48","TX","139","ELLIS"
"76670","48","TX","217","HILL"
"76670","48","TX","349","NAVARRO"
"76673","48","TX","217","HILL"
"76673","48","TX","293","LIMESTONE"
"76673","48","TX","309","MCLENNAN"
"76682","48","TX","145","FALLS"
"76682","48","TX","309","MCLENNAN"
"76687","48","TX","293","LIMESTONE"
"76687","48","TX","395","ROBERTSON"
"76689","48","TX","035","BOSQUE"
"76689","48","TX","099","CORYELL"
"76689","48","TX","309","MCLENNAN"
"76690","48","TX","035","BOSQUE"
"76690","48","TX","143","ERATH"
"76690","48","TX","425","SOMERVELL"
"76691","48","TX","217","HILL"
"76691","48","TX","309","MCLENNAN"
"76693","48","TX","161","FREESTONE"
"76693","48","TX","293","LIMESTONE"
"76693","48","TX","349","NAVARRO"
"76706","48","TX","145","FALLS"
"76706","48","TX","309","MCLENNAN"
"76801","48","TX","049","BROWN"
"76801","48","TX","083","COLEMAN"
"76801","48","TX","333","MILLS"
"76823","48","TX","049","BROWN"
"76823","48","TX","083","COLEMAN"
"76825","48","TX","307","MCCULLOCH"
"76825","48","TX","319","MASON"
"76841","48","TX","267","KIMBLE"
"76841","48","TX","327","MENARD"
"76842","48","TX","307","MCCULLOCH"
"76842","48","TX","319","MASON"
"76842","48","TX","411","SAN SABA"
"76844","48","TX","193","HAMILTON"
"76844","48","TX","281","LAMPASAS"
